wo_id,product,qty,status
WO00786,P0208,2,COMPLETED
WO00787,P0226,39,OPEN
WO00788,P0036,12,OPEN
WO00789,P0494,30,FAILED
WO00790,P0379,8,FAILED
WO00791,P0191,33,FAILED
WO00792,P0496,23,FAILED
WO00793,P0409,42,IN_PROGRESS
WO00794,P0132,1,COMPLETED
WO00795,P0346,16,FAILED
WO00796,P0030,43,FAILED
WO00797,P0171,2,FAILED
WO00798,P0414,2,FAILED
WO00799,P0330,50,FAILED
WO00800,P0190,48,COMPLETED
WO00801,P0215,43,OPEN
WO00802,P0072,47,IN_PROGRESS
WO00803,P0026,10,OPEN
WO00804,P0063,12,OPEN
WO00805,P0406,40,COMPLETED
WO00806,P0241,47,IN_PROGRESS
WO00807,P0144,42,OPEN
WO00808,P0431,1,FAILED
WO00809,P0367,4,IN_PROGRESS
WO00810,P0096,9,FAILED
WO00811,P0046,29,FAILED
WO00812,P0179,23,FAILED
WO00813,P0050,21,OPEN
WO00814,P0248,10,IN_PROGRESS
WO00815,P0310,41,FAILED
WO00816,P0237,22,COMPLETED
WO00817,P0440,15,FAILED
WO00818,P0372,26,OPEN
WO00819,P0201,47,OPEN
WO00820,P0498,34,FAILED
WO00821,P0356,35,COMPLETED
WO00822,P0489,34,OPEN
WO00823,P0136,35,COMPLETED
WO00824,P0394,1,FAILED
WO00825,P0199,19,OPEN
WO00826,P0321,32,OPEN
WO00827,P0428,41,IN_PROGRESS
WO00828,P0410,28,COMPLETED
WO00829,P0086,30,FAILED
WO00830,P0099,27,IN_PROGRESS
WO00831,P0096,38,COMPLETED
WO00832,P0407,40,OPEN
WO00833,P0184,23,IN_PROGRESS
WO00834,P0454,45,FAILED
WO00835,P0118,24,OPEN
WO00836,P0400,3,COMPLETED
WO00837,P0004,20,FAILED
WO00838,P0110,26,COMPLETED
WO00839,P0329,43,FAILED
WO00840,P0370,6,IN_PROGRESS
WO00841,P0366,21,FAILED
WO00842,P0494,37,OPEN
WO00843,P0443,1,OPEN
WO00844,P0280,9,OPEN
WO00845,P0167,34,OPEN
WO00846,P0144,3,COMPLETED
WO00847,P0444,25,IN_PROGRESS
WO00848,P0373,30,OPEN
WO00849,P0137,18,IN_PROGRESS
WO00850,P0496,17,OPEN
WO00851,P0101,36,COMPLETED
WO00852,P0436,17,OPEN
WO00853,P0033,17,OPEN
WO00854,P0023,31,COMPLETED
WO00855,P0465,17,COMPLETED
WO00856,P0315,45,FAILED
WO00857,P0404,42,IN_PROGRESS
WO00858,P0378,18,IN_PROGRESS
WO00859,P0119,30,IN_PROGRESS
WO00860,P0184,10,IN_PROGRESS
WO00861,P0499,22,COMPLETED
WO00862,P0328,49,COMPLETED
WO00863,P0124,50,IN_PROGRESS
WO00864,P0271,8,FAILED
WO00865,P0179,26,COMPLETED
WO00866,P0422,32,FAILED
WO00867,P0453,30,IN_PROGRESS
WO00868,P0349,43,COMPLETED
WO00869,P0359,35,COMPLETED
WO00870,P0075,50,COMPLETED
WO00871,P0414,3,FAILED
WO00872,P0141,23,OPEN
WO00873,P0476,24,OPEN
WO00874,P0279,41,COMPLETED
WO00875,P0126,46,COMPLETED
WO00876,P0316,41,COMPLETED
WO00877,P0251,28,IN_PROGRESS
WO00878,P0252,35,FAILED
WO00879,P0472,39,IN_PROGRESS
WO00880,P0463,17,OPEN
WO00881,P0132,30,IN_PROGRESS
WO00882,P0467,46,FAILED
WO00883,P0104,27,OPEN
WO00884,P0216,1,COMPLETED
WO00885,P0303,49,IN_PROGRESS
WO00886,P0013,33,IN_PROGRESS
WO00887,P0250,15,IN_PROGRESS
WO00888,P0398,32,COMPLETED
WO00889,P0464,17,COMPLETED
WO00890,P0014,25,IN_PROGRESS
WO00891,P0325,44,FAILED
WO00892,P0186,26,COMPLETED
WO00893,P0077,24,OPEN
WO00894,P0229,42,IN_PROGRESS
WO00895,P0219,1,IN_PROGRESS
WO00896,P0089,47,IN_PROGRESS
WO00897,P0010,48,COMPLETED
WO00898,P0497,26,IN_PROGRESS
WO00899,P0494,1,IN_PROGRESS
WO00900,P0433,15,FAILED
WO00901,P0334,47,COMPLETED
WO00902,P0389,31,FAILED
WO00903,P0199,1,OPEN
WO00904,P0091,44,OPEN
WO00905,P0067,34,COMPLETED
WO00906,P0304,17,FAILED
WO00907,P0267,26,FAILED
WO00908,P0369,29,IN_PROGRESS
WO00909,P0455,41,COMPLETED
WO00910,P0063,32,OPEN
WO00911,P0488,11,OPEN
WO00912,P0461,7,COMPLETED
WO00913,P0113,6,COMPLETED
WO00914,P0128,7,IN_PROGRESS
WO00915,P0139,10,COMPLETED
WO00916,P0019,4,COMPLETED
WO00917,P0401,48,COMPLETED
WO00918,P0159,7,IN_PROGRESS
WO00919,P0089,32,COMPLETED
WO00920,P0381,48,IN_PROGRESS
WO00921,P0466,15,COMPLETED
WO00922,P0339,38,FAILED
WO00923,P0350,6,COMPLETED
WO00924,P0262,9,COMPLETED
WO00925,P0213,12,COMPLETED
WO00926,P0491,48,COMPLETED
WO00927,P0211,33,OPEN
WO00928,P0060,44,FAILED
WO00929,P0388,37,IN_PROGRESS
WO00930,P0225,2,IN_PROGRESS
WO00931,P0081,45,OPEN
WO00932,P0454,4,COMPLETED
WO00933,P0165,23,OPEN
WO00934,P0443,25,OPEN
WO00935,P0026,44,FAILED
WO00936,P0021,27,COMPLETED
WO00937,P0211,12,FAILED
WO00938,P0260,12,OPEN
WO00939,P0414,9,OPEN
WO00940,P0255,15,FAILED
WO00941,P0459,1,OPEN
WO00942,P0268,33,COMPLETED
WO00943,P0083,6,COMPLETED
WO00944,P0108,42,FAILED
WO00945,P0392,10,COMPLETED
WO00946,P0456,12,OPEN
WO00947,P0497,3,FAILED
WO00948,P0123,18,IN_PROGRESS
WO00949,P0496,41,FAILED
WO00950,P0328,26,COMPLETED
WO00951,P0391,11,COMPLETED
WO00952,P0060,40,COMPLETED
WO00953,P0021,32,FAILED
WO00954,P0454,24,COMPLETED
WO00955,P0092,41,OPEN
WO00956,P0051,16,IN_PROGRESS
WO00957,P0377,16,COMPLETED
WO00958,P0045,11,IN_PROGRESS
WO00959,P0468,22,FAILED
WO00960,P0334,2,COMPLETED
WO00961,P0323,48,FAILED
WO00962,P0404,48,OPEN
WO00963,P0334,15,COMPLETED
WO00964,P0316,21,IN_PROGRESS
WO00965,P0171,48,OPEN
WO00966,P0025,6,COMPLETED
WO00967,P0135,26,IN_PROGRESS
WO00968,P0384,43,FAILED
WO00969,P0120,2,COMPLETED
WO00970,P0176,32,IN_PROGRESS
WO00971,P0296,13,IN_PROGRESS
WO00972,P0390,28,OPEN
WO00973,P0315,4,OPEN
WO00974,P0030,12,OPEN
WO00975,P0200,27,COMPLETED
WO00976,P0028,9,FAILED
WO00977,P0356,16,OPEN
WO00978,P0355,32,COMPLETED
WO00979,P0454,50,FAILED
WO00980,P0360,28,COMPLETED
WO00981,P0423,38,OPEN
WO00982,P0245,6,IN_PROGRESS
WO00983,P0340,13,IN_PROGRESS
WO00984,P0230,5,OPEN
WO00985,P0448,24,OPEN
WO00986,P0250,8,FAILED
WO00987,P0037,16,COMPLETED
WO00988,P0272,23,OPEN
WO00989,P0433,22,COMPLETED
WO00990,P0500,30,IN_PROGRESS
WO00991,P0077,20,FAILED
WO00992,P0050,19,COMPLETED
WO00993,P0314,8,COMPLETED
WO00994,P0249,12,FAILED
WO00995,P0397,7,FAILED
WO00996,P0060,34,IN_PROGRESS
WO00997,P0208,47,IN_PROGRESS
WO00998,P0445,29,COMPLETED
WO00999,P0059,41,IN_PROGRESS
